"data","Somalia","jowhar","hargeysa","buuhoodle","burco","sheikh","caynabo","laas_caanood","owdweyne","ceel_afweyn","xudun","ceerigaabo","laasqoray","bossaso","xamar_weyne","qardho","garowe","burtinle","gaalkacyo","galdogob","hobyo","dhuusamarreeb","cabudwaaq","cadaado","belet_weyne","waaberi","boondheere","marka","afgooye","hodan","wanla_weyn","baidoa","diinsoor","xudur","ceel_barde","waajid","garbahaarey","baardheere","ceel_waaq","doolow","belet_xaawo","luuq","kismayo","afmadow","lughaye","zeylac","dharkenley","daynile","hawl_wadaag","kahda","baki","borama","berbera","gebiley","cabdlcasiis","karaan","shibis","shangaani","wadajir","wardhiigleey","xamar_jabjab","yaaqshiid"
"How many months has this site been established for?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Between 2 and 5 years","39.79","30.43","8","93.75","66.67","87.5","87.5","88.89","100","75","88.89","44.44","46.67","6.25","0","16.67","29.63","0","56.82","40","100","40","25","80","22.83","33.33","0","85.71","22.78","8.11","33.33","58.4","66.67","33.33","100","100","0","50","0","0","50","53.85","37.91","55.56","47.37","80","14.81","27.59","19.05","34.97","87.5","20","60","50","11.11","50","50","42.86","10.53","0","0","0"
"More than 5 years","34.03","63.77","76","6.25","20","0","12.5","11.11","0","25","11.11","55.56","46.67","93.75","100","83.33","70.37","75","40.91","60","0","50","75","20","70.65","50","75","0","58.23","72.97","66.67","28.01","33.33","66.67","0","0","100","50","100","100","50","38.46","57.69","44.44","47.37","20","62.96","5.98","76.19","4.05","12.5","80","40","50","77.78","50","50","42.86","89.47","90.91","33.33","83.33"
"Between 1 and 2 years","11.2","4.35","8","0","6.67","12.5","0","0","0","0","0","0","0","0","0","0","0","25","2.27","0","0","10","0","0","3.26","8.33","0","0","2.53","0","0","10.87","0","0","0","0","0","0","0","0","0","7.69","3.85","0","5.26","0","11.11","29.2","4.76","17.05","0","0","0","0","0","0","0","14.29","0","0","33.33","0"
"Between 6 months and 1 year","8.26","0","8","0","6.67","0","0","0","0","0","0","0","6.67","0","0","0","0","0","0","0","0","0","0","0","3.26","8.33","25","14.29","15.19","16.22","0","2.21","0","0","0","0","0","0","0","0","0","0","0.55","0","0","0","7.41","22.3","0","16.76","0","0","0","0","5.56","0","0","0","0","9.09","33.33","0"
"Less than 6 months","6.71","1.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.27","2.7","0","0.51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.7","14.94","0","27.17","0","0","0","0","5.56","0","0","0","0","0","0","16.67"
"How many shelters are present in this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","207.21","143.06","1486.6","421.88","1704.73","264.62","722.38","377.72","262.5","223.88","134.44","283.44","126.73","598.69","403","230.83","370.74","162.75","270.15","276.4","30.33","291.3","582.62","555.4","162.88","66.83","280.5","477.29","133.27","132.38","57","132.19","120.83","233.78","80.5","110","319.25","697.5","214.67","5960","489.88","206.23","93.24","76.22","401.05","120.4","636.85","138.87","166.43","148.88","430","365.7","566.9","1181.25","111.67","70","124.5","120","217.89","170.73","420.67","159.5"
"How many households are present in this site? By household, people living together sharing common resources.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","195.22","154.36","1152.68","368.62","1462.07","210.5","587.38","352.78","186.72","212.88","109.67","304.67","138.93","719.73","464.86","523.75","392.85","158.5","303.16","224.4","62","483.9","622.88","579.8","172.92","76.42","222.5","500.86","120.11","203.24","85","100.69","117.08","233.78","69","71.5","544.25","696.25","194","5065","656.5","204.77","96.77","59.06","222.79","120.4","288.48","141.7","137.9","149.72","130.88","252.8","298.4","933.5","123.5","70","159.25","112.86","199.58","289.45","348.33","252.5"
"How many individuals are present in this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","993.16","731.25","8524.72","2027.38","7949.8","1206.88","3199.38","2179.22","1098.28","1199.38","524.22","1587.67","790.4","4079.65","2900.29","3248.92","2125.52","597.5","1543.51","1316.4","279.33","2322.9","2913.5","3308.4","762.66","374.67","1018.75","2897.43","692.44","723.16","536.5","584.74","516.25","1402.67","449","566","3148.25","2816.5","1240","27800","3227.12","1289","513.74","164.22","1288.32","705.6","859.81","605.27","450.71","560.73","837.75","1637.4","1645.8","5990","519.67","159","642","493.43","639.42","889.09","1323.33","906.83"
"cccm_populationestimates_twentypercent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","159.14","99.59","1407.16","388.69","1226.47","136.38","686.5","436.11","114.28","152.5","84.22","317.67","100.87","514.35","549.43","470.75","270.78","97.5","294.39","228.6","56","464.8","437.25","661.6","132.13","40","148.75","157.57","136.09","119.73","42.83","100.92","94.75","280.56","90","115","629.75","563.5","248","5560","645.5","257.85","97.34","17.78","244.26","125.2","152","75.11","65.05","79.43","259","327.6","279.7","825.5","74.5","32","85.5","58.43","110","139.55","97","114.33"
"If ${cccm_populationestimates_twentypercent} individuals were to arrive tomorrow, would this site be able to accommodate them?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yes","47.14","1.45","12","75","6.67","100","25","16.67","88.89","37.5","33.33","0","13.33","29.17","0","25","3.7","0","25","0","0","80","37.5","0","75","0","0","85.71","67.09","22.97","16.67","73.34","16.67","22.22","0","83.33","100","100","100","0","50","23.08","5.49","100","52.63","80","37.04","57.01","52.38","39.88","87.5","10","60","0","5.56","0","0","0","47.37","27.27","33.33","0"
"No","41.3","95.65","80","12.5","66.67","0","50","83.33","0","0","66.67","66.67","73.33","56.25","85.71","41.67","92.59","75","54.55","80","100","0","50","80","19.57","100","75","14.29","22.78","67.57","50","14.09","16.67","55.56","100","16.67","0","0","0","100","25","38.46","91.21","0","21.05","0","48.15","31.03","28.57","48.84","12.5","80","40","100","83.33","100","100","100","47.37","63.64","66.67","100"
"NC","11.56","2.9","8","12.5","26.67","0","25","0","11.11","62.5","0","33.33","13.33","14.58","14.29","33.33","3.7","25","20.45","20","0","20","12.5","20","5.43","0","25","0","10.13","9.46","33.33","12.56","66.67","22.22","0","0","0","0","0","0","25","38.46","3.3","0","26.32","20","14.81","11.95","19.05","11.27","0","10","0","0","11.11","0","0","0","5.26","9.09","0","0"
"When did the majority of individuals arrive to this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"More than 6 months ago","60.62","50.75","100","100","93.33","100","100","94.44","100","100","100","100","86.67","100","57.14","58.33","59.26","75","90.91","100","100","100","100","100","59.78","91.67","50","57.14","60.76","53.42","50","62.24","91.67","100","25","33.33","100","100","66.67","100","100","76.92","84.07","55.56","100","100","66.67","36.51","85.71","30.06","87.5","100","100","100","66.67","100","100","100","68.42","72.73","100","83.33"
"NC","15.09","13.43","0","0","6.67","0","0","5.56","0","0","0","0","6.67","0","14.29","41.67","37.04","25","1.14","0","0","0","0","0","14.13","8.33","25","14.29","11.39","23.29","16.67","18.03","0","0","50","0","0","0","33.33","0","0","23.08","12.09","16.67","0","0","22.22","21.4","9.52","18.75","12.5","0","0","0","5.56","0","0","0","5.26","9.09","0","0"
"3 to 6 months ago","11.36","28.36","0","0","0","0","0","0","0","0","0","0","6.67","0","0","0","0","0","7.95","0","0","0","0","0","17.39","0","0","14.29","17.72","12.33","16.67","13.61","0","0","0","33.33","0","0","0","0","0","0","2.2","11.11","0","0","7.41","12.09","0","19.94","0","0","0","0","11.11","0","0","0","21.05","9.09","0","0"
"1 to 3 months ago","9.16","7.46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.7","0","0","0","0","0","0","0","5.43","0","25","0","10.13","6.85","16.67","4.42","8.33","0","0","16.67","0","0","0","0","0","0","1.1","11.11","0","0","3.7","18.14","0","26.19","0","0","0","0","11.11","0","0","0","5.26","9.09","0","0"
